date_time,id,box
2023-04-28 21:07:35,000783F429,K5
2023-04-28 21:11:43,0006B3BF04,K5
2023-04-28 21:19:28,0007AC80F1,K5
2023-04-29 03:50:18,0007AC0387,K5
2023-04-30 21:11:35,0007AC0145,K74
2023-04-30 21:12:06,00075D879F,K74
2023-04-30 21:13:56,00071E15BF,K74
2023-04-30 21:15:01,0007AC494F,K74
2023-04-30 21:16:16,000783CB2B,K74
2023-05-01 03:10:07,0007AC9A80,K74
2023-05-01 03:10:40,0007AC9A80,K74
2023-05-01 03:10:51,0007AC9A80,K74
2023-05-01 03:25:49,0007C1922C,K74
2023-05-01 04:59:04,0007CE0F3D,K74
2023-05-01 04:59:29,0007ACA816,K74
2023-05-01 04:59:33,00071E2D31,K74
2023-05-01 05:04:26,0007AC5939,K74
2023-05-01 05:12:15,00071E15BF,K74
2023-05-01 05:15:57,000783F377,K74
2023-05-01 05:17:11,000783F377,K74
2023-05-01 05:20:22,000783F377,K74
2023-05-02 21:10:38,00071E15BF,K74
2023-05-02 21:12:24,0007AC0145,K74
2023-05-02 21:13:02,0007AC8BE4,K74
2023-05-02 21:13:42,00079A0255,K74
2023-05-02 21:18:55,00075D879F,K74
2023-05-02 21:20:00,0007ABD629,K74
2023-05-02 21:20:28,0007C1922C,K74
2023-05-03 04:44:58,0007AC0145,K74
2023-05-03 04:47:28,0007AC0145,K74
2023-05-03 05:01:48,00071E15BF,K74
2023-05-03 21:06:40,00071E15BF,K74
2023-05-03 21:08:38,00071E15BF,K74
2023-05-03 21:10:02,0007AC8BE4,K74
2023-05-03 21:17:38,0007C1922C,K74
2023-05-03 21:20:43,0007AC0145,K74
2023-05-04 04:33:39,0007AC5939,K74
2023-05-04 04:42:39,0007AC5939,K74
2023-05-04 04:43:29,0007AC5939,K74
2023-05-04 04:46:22,0007C1922C,K74
2023-05-04 04:50:26,00079A0255,K74
2023-05-04 04:54:37,00075B29B2,K74
2023-05-04 04:57:33,00071E15BF,K74
2023-05-04 04:59:09,0006B3AC35,K74
2023-05-04 05:14:31,0007AC8BE4,K74
2023-05-04 21:08:25,00071E15BF,K74
2023-05-04 21:10:41,00079A0255,K74
2023-05-04 21:12:16,0007C1922C,K74
2023-05-04 21:12:22,0007AC8BE4,K74
2023-05-04 21:12:56,0007ABD629,K74
2023-05-04 21:14:06,0007AC0145,K74
2023-05-04 21:14:55,00075D879F,K74
2023-05-04 21:16:52,0006B3AC35,K74
2023-05-04 21:19:08,0007AC5939,K74
2023-05-04 21:20:39,00075D076C,K74
2023-05-05 02:37:56,0007AC418B,K74
2023-05-05 02:56:16,0007ABA539,K74
2023-05-05 03:00:32,0007ABA539,K74
2023-05-05 03:36:38,0006E241C1,K74
2023-05-05 04:25:50,0007AC34C9,K74
2023-05-05 05:09:59,000799A5EF,K74
2023-05-05 05:10:18,000783F377,K74
2023-05-05 05:10:24,0007ABA539,K74
2023-05-05 05:10:48,00071E15BF,K74
2023-05-05 05:12:54,000799A5EF,K74
2023-05-05 05:15:16,000786B8A2,K74
2023-05-05 05:16:38,00075CE063,K74
2023-05-05 05:17:11,00071E2D31,K74
2023-05-05 05:17:17,00079AAA3C,K74
2023-05-05 05:19:59,0006B3AC35,K74
2023-05-05 05:21:08,0007AC494F,K74
2023-05-05 05:21:49,000799A5EF,K74
2023-05-05 05:22:57,0007ABD629,K74
2023-05-05 21:00:28,0006E241C1,K74
2023-05-05 21:00:48,0006E241C1,K74
2023-05-05 21:00:59,0006E241C1,K74
2023-05-05 21:01:10,0006E241C1,K74
2023-05-05 21:01:21,0006E241C1,K74
2023-05-05 21:01:32,0006E241C1,K74
2023-05-05 21:01:45,0006E241C1,K74
2023-05-05 21:01:56,0006E241C1,K74
2023-05-05 21:02:14,0006E241C1,K74
2023-05-05 21:02:25,0006E241C1,K74
2023-05-05 21:02:36,0006E241C1,K74
2023-05-05 21:02:47,0006E241C1,K74
2023-05-05 21:02:58,0006E241C1,K74
2023-05-05 21:04:43,00074F663E,K74
2023-05-05 21:04:49,0006E24C7B,K74
2023-05-05 21:12:09,00075CE063,K74
