date,colony,box,logger,species,details,Transponder Code:,Time:
2024-05-14,GB2,K46,LID31,Mbec,empty,00079ABB95,09:27:49
2024-05-14,GB2,K46,LID31,Mbec,empty,0006E24ECA,21:36:06
2024-05-14,GB2,K46,LID31,Mbec,empty,0007D1088C,21:37:18
2024-05-14,GB2,K46,LID31,Mbec,empty,0007D1088C,21:37:19
2024-05-14,GB2,K46,LID31,Mbec,empty,0007D104DB,21:37:34
2024-05-14,GB2,K46,LID31,Mbec,empty,00074F663E,21:39:54
2024-05-14,GB2,K46,LID31,Mbec,empty,0007C1922C,21:40:59
2024-05-14,GB2,K46,LID31,Mbec,empty,0007C1922C,21:41:00
2024-05-14,GB2,K46,LID31,Mbec,empty,0007C1922C,21:41:01
2024-05-14,GB2,K46,LID31,Mbec,empty,0007AC8BE4,21:41:29
2024-05-14,GB2,K46,LID31,Mbec,empty,0006B3AC35,21:41:34
2024-05-14,GB2,K46,LID31,Mbec,empty,0007CE0A62,21:44:08
2024-05-14,GB2,K46,LID31,Mbec,empty,0007CE0A62,21:44:09
2024-05-14,GB2,K46,LID31,Mbec,empty,0007D10CE1,21:44:22
2024-05-14,GB2,K46,LID31,Mbec,empty,0007AC0387,21:44:51
2024-05-14,GB2,K46,LID31,Mbec,empty,0007AC0387,21:44:52
2024-05-14,GB2,K46,LID31,Mbec,empty,00075D076C,21:44:56
2024-05-14,GB2,K46,LID31,Mbec,empty,000783F429,21:45:16
2024-05-14,GB2,K46,LID31,Mbec,empty,000788A24D,21:45:20
2024-05-14,GB2,K46,LID31,Mbec,empty,00079AAA3C,21:46:36
2024-05-14,GB2,K46,LID31,Mbec,empty,000783A42D,21:46:40
2024-05-14,GB2,K46,LID31,Mbec,empty,000783A42D,21:46:42
2024-05-14,GB2,K46,LID31,Mbec,empty,000783A42D,21:46:43
2024-05-14,GB2,K46,LID31,Mbec,empty,0007D10BA0,21:46:57
2024-05-14,GB2,K46,LID31,Mbec,empty,0007D10BA0,21:46:58
2024-05-14,GB2,K46,LID31,Mbec,empty,0007D10BA0,21:46:59
2024-05-14,GB2,K46,LID31,Mbec,empty,0007D10BA0,21:47:00
2024-05-14,GB2,K46,LID31,Mbec,empty,0007D10BA0,21:47:01
2024-05-14,GB2,K46,LID31,Mbec,empty,0007D10BA0,21:47:02
2024-05-14,GB2,K46,LID31,Mbec,empty,0007D10BA0,21:47:03
2024-05-14,GB2,K46,LID31,Mbec,empty,0007ACAC37,21:47:23
2024-05-14,GB2,K46,LID31,Mbec,empty,0007D10122,21:49:34
2024-05-14,GB2,K46,LID31,Mbec,empty,0007D10122,21:49:35
2024-05-14,GB2,K46,LID31,Mbec,empty,0007D10122,21:49:36
2024-05-14,GB2,K46,LID31,Mbec,empty,0007D10122,21:49:36
2024-05-14,GB2,K46,LID31,Mbec,empty,0007D109BB,21:49:51
2024-05-14,GB2,K46,LID31,Mbec,empty,0007D109BB,21:49:52
2024-05-14,GB2,K46,LID31,Mbec,empty,0007D109BB,21:49:53
2024-05-14,GB2,K46,LID31,Mbec,empty,0007D109BB,21:49:54
2024-05-14,GB2,K46,LID31,Mbec,empty,0007AC418B,21:50:28
2024-05-15,GB2,K46,LID31,Mbec,empty,00079ABB95,11:03:23
2024-05-15,GB2,K46,LID31,Mbec,empty,00079ABB95,11:03:24
2024-05-14,GB2,K9,LID37,Mbec,empty,00079ABB95,09:39:24
2024-05-14,GB2,K9,LID37,Mbec,empty,00079ABB95,09:39:25
2024-05-14,GB2,K9,LID37,Mbec,empty,0007D1062C,21:14:55
2024-05-14,GB2,K9,LID37,Mbec,empty,0007D1062C,21:14:55
2024-05-14,GB2,K9,LID37,Mbec,empty,0007D1062C,21:14:56
2024-05-14,GB2,K9,LID37,Mbec,empty,0007D1062C,21:14:57
2024-05-14,GB2,K9,LID37,Mbec,empty,0007D1062C,21:14:58
