#;Transponder Type:;Transponder Code:;Date:;Time:;Event:;Unit #:;Antenna #:;Memo:;Custom:;
"0;Trovan Unique;""0006B3B283"";26.07.2017;12:59:00;;-;-;;"
"37;Trovan Unique;""0006B381E3"";26.07.2017;21:15:08;;-;-;;"
"38;Trovan Unique;""0006B381E3"";26.07.2017;21:15:20;;-;-;;"
"39;Trovan Unique;""0006B381E3"";26.07.2017;21:15:21;;-;-;;"
"40;Trovan Unique;""00068E3948"";26.07.2017;21:21:40;;-;-;;"
"41;Trovan Unique;""00068E3948"";26.07.2017;21:21:41;;-;-;;"
"42;Trovan Unique;""00068E3948"";26.07.2017;21:21:42;;-;-;;"
"43;Trovan Unique;""00068E3948"";26.07.2017;21:21:43;;-;-;;"
"44;Trovan Unique;""00074F2396"";26.07.2017;21:24:54;;-;-;;"
"45;Trovan Unique;""00074F2396"";26.07.2017;21:24:55;;-;-;;"
"46;Trovan Unique;""000697BD11"";26.07.2017;21:35:22;;-;-;;"
"47;Trovan Unique;""000697BD11"";26.07.2017;21:35:23;;-;-;;"
"48;Trovan Unique;""00068E0DE6"";26.07.2017;21:47:21;;-;-;;"
"49;Trovan Unique;""00068E0DE6"";26.07.2017;21:47:23;;-;-;;"
"50;Trovan Unique;""00068E0DE6"";26.07.2017;21:47:24;;-;-;;"
"51;Trovan Unique;""0006E22A38"";26.07.2017;21:53:29;;-;-;;"
"52;Trovan Unique;""0006E22A38"";26.07.2017;21:53:30;;-;-;;"
"53;Trovan Unique;""00068E3948"";26.07.2017;23:24:05;;-;-;;"
"54;Trovan Unique;""0006E22A38"";27.07.2017;00:44:23;;-;-;;"
"55;Trovan Unique;""0006E22A38"";27.07.2017;00:44:24;;-;-;;"
"56;Trovan Unique;""00074F2396"";27.07.2017;01:23:05;;-;-;;"
"57;Trovan Unique;""0006979ABE"";27.07.2017;04:09:48;;-;-;;"
"58;Trovan Unique;""0006B3B283"";27.07.2017;12:59:00;;-;-;;"
