#;Transponder Type:;Transponder Code:;Date:;Time:;Event:;Unit #:;Antenna #:;Memo:;Custom:;
"0;Trovan Unique;""0006B3B283"";25.07.2017;12:59:00;;-;-;;"
"1;Trovan Unique;""0006B3B283"";25.07.2017;12:59:01;;-;-;;"
"2;Trovan Unique;""00060F66F2"";25.07.2017;22:56:45;;-;-;;"
"3;Trovan Unique;""00060F66F2"";25.07.2017;22:56:46;;-;-;;"
"4;Trovan Unique;""00060F66F2"";25.07.2017;22:56:47;;-;-;;"
"5;Trovan Unique;""00060F66F2"";25.07.2017;22:56:49;;-;-;;"
"6;Trovan Unique;""00060F66F2"";25.07.2017;22:56:50;;-;-;;"
"7;Trovan Unique;""00060F66F2"";25.07.2017;22:56:51;;-;-;;"
"8;Trovan Unique;""00060F66F2"";25.07.2017;22:56:52;;-;-;;"
"9;Trovan Unique;""00060F66F2"";25.07.2017;22:56:53;;-;-;;"
"10;Trovan Unique;""00060F66F2"";25.07.2017;22:56:54;;-;-;;"
"11;Trovan Unique;""00060F66F2"";25.07.2017;22:56:55;;-;-;;"
"12;Trovan Unique;""00060F66F2"";25.07.2017;22:56:56;;-;-;;"
"13;Trovan Unique;""00060F66F2"";25.07.2017;22:56:57;;-;-;;"
"14;Trovan Unique;""00060F66F2"";25.07.2017;22:56:58;;-;-;;"
"15;Trovan Unique;""00060F66F2"";25.07.2017;22:56:59;;-;-;;"
"16;Trovan Unique;""00060F66F2"";25.07.2017;22:57:00;;-;-;;"
"17;Trovan Unique;""00060F66F2"";25.07.2017;22:57:01;;-;-;;"
"18;Trovan Unique;""00060F66F2"";25.07.2017;22:57:02;;-;-;;"
"19;Trovan Unique;""00060F66F2"";25.07.2017;22:57:03;;-;-;;"
"20;Trovan Unique;""00060F66F2"";25.07.2017;22:57:04;;-;-;;"
"21;Trovan Unique;""00060F66F2"";25.07.2017;22:57:05;;-;-;;"
"22;Trovan Unique;""00060F66F2"";25.07.2017;22:57:06;;-;-;;"
"23;Trovan Unique;""00060F66F2"";25.07.2017;22:57:07;;-;-;;"
"24;Trovan Unique;""00060F66F2"";25.07.2017;22:57:08;;-;-;;"
"25;Trovan Unique;""00060F66F2"";25.07.2017;22:57:09;;-;-;;"
"26;Trovan Unique;""00060F66F2"";25.07.2017;22:57:10;;-;-;;"
"27;Trovan Unique;""00060F66F2"";25.07.2017;22:57:11;;-;-;;"
"28;Trovan Unique;""00060F66F2"";25.07.2017;22:57:12;;-;-;;"
"29;Trovan Unique;""00060F66F2"";25.07.2017;22:57:13;;-;-;;"
"30;Trovan Unique;""00060F66F2"";25.07.2017;22:57:14;;-;-;;"
"31;Trovan Unique;""00060F66F2"";25.07.2017;22:57:15;;-;-;;"
"32;Trovan Unique;""00060F66F2"";25.07.2017;22:57:16;;-;-;;"
"33;Trovan Unique;""00060F66F2"";25.07.2017;22:57:17;;-;-;;"
"34;Trovan Unique;""00060F66F2"";25.07.2017;22:57:18;;-;-;;"
"35;Trovan Unique;""0006979ABE"";26.07.2017;02:14:16;;-;-;;"
"36;Trovan Unique;""0006979ABE"";26.07.2017;02:14:17;;-;-;;"
"37;Trovan Unique;""0006B3B283"";26.07.2017;12:59:00;;-;-;;"
